dS,R,Seq,cidx,a,da,dai,dap
21.17223445,-0.072672535,1.513226645,0.308861772,0.010190038,1.56E-06,3.42E-16,1.56E-06
28.884977,0.149743949,1.315283057,0.547309462,0.012262452,4.14E-06,4.18E-16,4.14E-06
34.64852971,0.266173235,0.664152831,0.083616723,0.003140628,1.79E-06,9.73E-16,1.79E-06
26.80136027,0.342574515,1.267285457,0.170434087,0.017219444,5.75E-06,6.60E-17,5.75E-06
34.68213643,0.301676335,1.57685137,0.183036607,0.00780156,4.30E-06,3.45E-16,4.30E-06
16.83696739,0.397047409,0.454302861,0.402880576,0.006333267,1.01E-06,1.15E-15,1.01E-06
41.68913783,0.201954391,0.18789758,0.280256051,0.01345069,9.25E-06,1.78E-16,9.25E-06
43.9239848,0.433420684,0.264544909,0.9979996,0.015771154,1.45E-05,4.61E-16,1.45E-05
1.663532707,-0.183532707,0.26045209,0.50770154,0.015235047,1.70E-08,2.51E-16,1.70E-08
81.68113623,0.614764953,0.167805561,0.400680136,0.012346469,4.57E-05,3.02E-16,4.57E-05
44.15923185,0.457785557,0.376911382,0.857571514,0.001264253,1.45E-06,6.16E-14,1.45E-06
8.603320664,-0.09460092,0.989717944,0.821164233,0.012326465,3.39E-07,6.21E-16,3.39E-07
70.17083417,0.362588518,0.980416083,0.879375875,0.010842168,2.27E-05,8.59E-16,2.27E-05
43.82316463,-0.124882977,0.752706541,0.75275055,0.015191038,7.99E-06,3.75E-16,7.99E-06
35.05181036,0.371290258,1.012414483,0.75055011,0.008745749,5.18E-06,1.13E-15,5.18E-06
18.66853371,0.447691538,0.822656531,0.922784557,0.01495099,2.86E-06,4.74E-16,2.86E-06
34.88377676,-0.119487898,1.098363673,0.24044809,0.007825565,2.86E-06,4.51E-16,2.86E-06
21.45789158,-0.202502501,0.753078616,0.919383877,0.002308462,3.28E-07,1.98E-14,3.28E-07
37.74034807,0.413058612,1.687729546,0.398679736,0.008337668,5.92E-06,6.59E-16,5.92E-06
12.38407682,-0.065189038,0.78210042,0.105021004,0.005941188,3.56E-07,3.42E-16,3.56E-07
28.70014003,-0.003232647,1.785585117,0.393478696,0.013322665,3.99E-06,2.55E-16,3.99E-06
3.075015003,0.140868174,0.522764553,0.975795159,0.017327465,8.93E-08,3.73E-16,8.93E-08
37.13542709,-0.067973595,1.375187037,0.052410482,0.011678336,5.07E-06,4.41E-17,5.07E-06
22.56691338,0.265825165,0.161480296,0.868373675,0.004628926,1.16E-06,4.65E-15,1.16E-06
28.56571314,0.11685137,0.644432887,0.74794959,0.005869174,2.00E-06,2.49E-15,2.00E-06
74.5565113,-0.164388878,1.406813363,0.454090818,0.019527906,2.53E-05,1.37E-16,2.53E-05
31.30466093,0.339963993,1.253146629,0.590518104,0.008345669,3.91E-06,9.74E-16,3.91E-06
77.44668934,0.586223245,0.40035207,0.617123425,0.003076615,1.10E-05,7.49E-15,1.10E-05
68.12082416,0.274004801,1.484576915,0.74394879,0.009945989,1.84E-05,8.64E-16,1.84E-05
21.32346469,0.461962392,1.361420284,0.352670534,0.019019804,4.65E-06,1.12E-16,4.65E-06
26.85177035,0.182810562,0.566669334,0.700140028,0.015871174,4.70E-06,3.19E-16,4.70E-06
12.23284657,-0.014718944,0.018603721,0.73914783,0.013106621,7.93E-07,4.94E-16,7.93E-07
16.58491698,0.341008202,1.117711542,0.425085017,0.014694939,2.04E-06,2.26E-16,2.04E-06
13.82916583,0.319253851,0.408165633,0.173034607,0.008517704,8.61E-07,2.74E-16,8.61E-07
13.74514903,0.387475495,1.624476895,0.806961392,0.012214443,1.27E-06,6.21E-16,1.27E-06
27.89357872,0.300806161,1.026553311,0.589317864,0.019859972,6.82E-06,1.72E-16,6.82E-06
68.4904981,0.554896979,0.70880176,0.707941588,0.006405281,1.65E-05,1.98E-15,1.65E-05
21.72674535,-0.159689938,0.82340068,0.024404881,0.005529106,8.06E-07,9.17E-17,8.06E-07
68.07041408,0.434812963,1.358071614,0.332066413,0.001436287,3.54E-06,1.85E-14,3.54E-06
46.6125225,0.212918584,0.5089978,0.808961792,0.008693739,7.65E-06,1.23E-15,7.65E-06
20.70174035,0.189075815,1.27844769,0.445489098,0.016619324,3.05E-06,1.85E-16,3.05E-06
25.64192839,0.554374875,1.338723745,0.25165033,0.004652931,1.99E-06,1.33E-15,1.99E-06
27.03660732,-0.083810762,1.07120224,0.954390878,0.012058412,2.82E-06,7.54E-16,2.82E-06
23.50790158,0.575781156,0.584528906,0.632526505,0.004992999,1.86E-06,2.91E-15,1.86E-06
31.52310462,0.52235247,1.197707542,0.290858172,0.013658732,7.58E-06,1.79E-16,7.58E-06
74.40528106,-0.025683137,1.827257451,0.122424485,0.011042208,1.88E-05,1.15E-16,1.88E-05
36.79935987,0.246159232,1.507273455,0.535507101,0.017275455,9.57E-06,2.06E-16,9.57E-06
12.46809362,0.186117223,0.314774955,0.868973795,0.018963793,1.34E-06,2.77E-16,1.34E-06
16.21524305,0.210308062,0.509741948,0.726945389,0.003256651,4.35E-07,7.87E-15,4.35E-07
47.72154431,0.306027205,0.752334467,0.617923585,0.013302661,1.28E-05,4.01E-16,1.28E-05
74.77495499,0.147307461,1.354722945,0.560912182,0.010046009,2.00E-05,6.38E-16,2.00E-05
7.628725745,0.352146429,1.511738348,0.566913383,0.019291858,6.28E-07,1.75E-16,6.28E-07
50.17483497,0.297325465,1.125897179,0.339267854,0.013330666,1.39E-05,2.19E-16,1.39E-05
45.55391078,0.569863973,1.010182036,0.75315063,0.010194039,1.22E-05,8.32E-16,1.22E-05
3.327065413,0.05820164,1.172778556,0.623724745,0.006877375,4.16E-08,1.51E-15,4.16E-08
66.64212843,0.638259652,0.54025205,0.387677536,0.011882376,3.14E-05,3.15E-16,3.14E-05
37.80756151,0.47779956,1.438067614,0.070814163,0.009913983,7.48E-06,8.27E-17,7.48E-06
0.420084017,0.584482897,0.430118024,0.075815163,0.012386477,2.52E-09,5.67E-17,2.52E-09
46.12522505,0.556985397,1.782236447,0.206441288,0.015391078,1.79E-05,1.00E-16,1.79E-05
59.80316063,-0.100170034,1.14784957,0.851970394,0.005429086,5.71E-06,3.32E-15,5.71E-06
28.17923585,0.624162833,1.483832767,0.426485297,0.008945789,4.79E-06,6.12E-16,4.79E-06
37.89157832,0.057331466,0.631782356,0.523104621,0.01784757,9.12E-06,1.89E-16,9.12E-06
24.28085617,-0.041520304,0.812982597,0.151430286,0.015091018,3.07E-06,7.64E-17,3.07E-06
4.184036807,0.442122424,1.171290258,0.74594919,0.015367073,1.83E-07,3.63E-16,1.83E-07
7.040608122,0.570908182,1.570526105,0.300860172,0.000780156,3.54E-08,5.68E-14,3.54E-08
50.94778956,0.387127425,0.591970394,0.276855371,0.017619524,2.01E-05,1.02E-16,2.01E-05
41.60512102,-0.105739148,0.599411882,0.105621124,0.012866573,6.42E-06,7.33E-17,6.42E-06
70.79255851,0.500076015,0.641456291,0.268653731,0.010682136,2.63E-05,2.70E-16,2.63E-05
48.99859972,0.239023805,1.728285657,0.805761152,0.009573915,9.36E-06,1.01E-15,9.36E-06
30.59891978,0.510866173,0.936139228,0.404880976,0.014346869,7.40E-06,2.26E-16,7.40E-06
2.218043609,0.280096019,1.769213843,0.707341468,0.015055011,4.75E-08,3.58E-16,4.75E-08
25.44028806,-0.061882376,1.552666533,0.853570714,0.017323465,3.66E-06,3.27E-16,3.66E-06
43.72234447,0.430462092,0.865445089,0.733546709,0.006245249,6.06E-06,2.16E-15,6.06E-06
24.29765953,0.118765753,1.485321064,0.697739548,0.016715343,3.92E-06,2.87E-16,3.92E-06
24.34806961,0.334568914,0.452070414,0.546109222,0.005377075,1.63E-06,2.17E-15,1.63E-06
34.27885577,-0.109393879,1.340956191,0.402080416,0.002756551,1.07E-06,6.08E-15,1.07E-06
24.07921584,0.143652731,1.375931186,0.466693339,0.018367674,4.28E-06,1.59E-16,4.28E-06
52.1240248,-0.000622124,0.560344069,0.850970194,8.80E-05,1.26E-11,1.26E-11,1.16E-07
22.24764953,-0.199543909,0.801076215,0.135627125,0.014834967,1.97E-06,7.08E-17,1.97E-06
22.73494699,-0.055443089,0.136923385,0.73994799,0.011370274,2.04E-06,6.57E-16,2.04E-06
60.05521104,0.167669534,1.016507301,0.162832567,0.017631526,2.28E-05,6.01E-17,2.28E-05
43.28545709,0.57230046,1.74874975,0.564512903,0.009277856,1.02E-05,7.53E-16,1.02E-05
38.95019004,0.426981396,0.065485097,0.065413083,0.006973395,5.40E-06,1.54E-16,5.40E-06
31.64072815,0.176023205,0.688709742,0.869173835,0.013382677,5.42E-06,5.57E-16,5.42E-06
20.65133027,0.455001,0.036463293,0.161032206,0.008813763,2.13E-06,2.38E-16,2.13E-06
39.10142028,0.24755151,1.543364673,0.622124425,0.002732547,1.94E-06,9.57E-15,1.94E-06
35.37107421,-0.012108422,1.705589118,0.322464493,0.00015203,1.60E-12,1.60E-12,9.17E-08
56.96339268,-0.188927786,1.461508302,0.234046809,0.017491498,1.34E-05,8.78E-17,1.34E-05
17.62672535,0.201258252,1.307841568,0.453290658,0.01814763,2.47E-06,1.58E-16,2.47E-06
39.82396479,0.32464893,1.066365273,0.434286857,0.011718344,8.25E-06,3.63E-16,8.25E-06
41.67233447,-0.177615523,1.562340468,0.436687337,0.004872975,2.33E-06,2.11E-15,2.33E-06
67.85197039,0.527921584,0.72145229,0.932786557,0.006553311,1.60E-05,2.49E-15,1.60E-05
39.33666733,0.146089218,1.163104621,0.179835967,0.005721144,3.61E-06,6.31E-16,3.61E-06
46.4444889,0.013822765,0.370958192,0.015803161,0.008021604,6.17E-06,2.82E-17,6.17E-06
35.035007,-0.119139828,1.776283257,0.185037007,0.00185237,7.58E-07,6.19E-15,7.58E-07
37.23624725,0.505993199,1.355839168,0.875375075,0.016879376,1.23E-05,3.53E-16,1.23E-05
60.18963793,0.538363673,0.54694939,0.672934587,0.016559312,3.06E-05,2.82E-16,3.06E-05
20.56731346,0.465443089,0.764984997,0.349869974,0.019819964,4.54E-06,1.02E-16,4.54E-06
19.39107822,0.524962993,1.433230646,0.062812563,0.007661532,1.81E-06,1.23E-16,1.81E-06
15.49269854,0.621030206,1.804560912,0.218043609,0.017539508,2.94E-06,8.14E-17,2.94E-06
23.55831166,0.084306861,0.533926785,0.478695739,0.004492899,1.07E-06,2.72E-15,1.07E-06
6.75495099,0.375119024,1.318631726,0.99959992,0.014714943,3.99E-07,5.30E-16,3.99E-07
47.30146029,0.430636127,1.320492098,0.356871374,0.015139028,1.59E-05,1.79E-16,1.59E-05
32.86737347,0.578739748,0.404072815,0.091818364,0.004196839,2.96E-06,5.99E-16,2.96E-06
45.62112422,0.339615923,0.965161032,0.667533507,0.003132627,3.17E-06,7.81E-15,3.17E-06
68.15443089,0.34240048,0.285753151,0.448689738,0.010410082,2.03E-05,4.75E-16,2.03E-05
12.11522304,0.616505301,1.179475895,0.084416883,0.01489898,1.59E-06,4.37E-17,1.59E-06
43.03340668,0.197777556,1.067853571,0.278655731,0.013294659,9.67E-06,1.81E-16,9.67E-06
64.25605121,0.048107622,1.037343469,0.300460092,0.017423485,2.36E-05,1.14E-16,2.36E-05
16.98819764,-0.154990998,1.269517904,0.894178836,0.008493699,7.67E-07,1.42E-15,7.67E-07
10.60292058,-0.15325065,0.134318864,0.700540108,0.013518704,4.94E-07,4.40E-16,4.94E-07
69.86837367,0.425067013,0.294310862,0.943388678,0.011382276,2.51E-05,8.36E-16,2.51E-05
