,logC
0,-24.923197645408305
1,-24.121982527597915
2,-23.6829429420568
3,-23.378887099492243
4,-23.146046448242906
5,-22.957312008230407
6,-22.798605746152024
7,-22.661671234716408
8,-22.541249312501726
9,-22.433782690038353
10,-22.336752625114787
11,-22.24831026666403
12,-22.16705832586544
13,-22.0919150307316
14,-22.022025745554377
15,-21.956703521064917
16,-21.8953879059776
17,-21.837615676481022
18,-21.782999570913418
19,-21.731212538115628
20,-21.681975868202425
21,-21.635050111187233
22,-21.59022803281583
23,-21.547329082672622
24,-21.506195000952612
25,-21.466686293729964
26,-21.428679378504047
27,-21.392064252655427
28,-21.35674257391225
29,-21.32262606843289
30,-21.289635201614786
31,-21.257698061256093
32,-21.226749413616727
33,-21.19672990122092
34,-21.16758535760359
35,-21.139266219121183
36,-21.111727017781764
37,-21.08492594206072
38,-21.05882445505102
39,-21.033386961194104
40,-21.00858051435842
41,-20.98437456125841
42,-20.96074071520109
43,-20.93765255595778
44,-20.9150854522225
45,-20.89301640366555
46,-20.871423900042902
47,-20.850287795197953
48,-20.829589194105697
49,-20.809310351372062
50,-20.78943457982204
51,-20.76994616799665
52,-20.750830305536788
53,-20.732073015566126
54,-20.713661093299784
55,-20.695582050203218
56,-20.67782406311
57,-20.66037592777913
58,-20.64322701643512
59,-20.62636723888781
60,-20.609787006875806
61,-20.593477201318006
62,-20.57742914219318
63,-20.56163456079849
64,-20.546085574165023
65,-20.5307746614321
66,-20.515694642003176
67,-20.50083865532443
68,-20.48620014214361
69,-20.471772827120862
70,-20.457550702676272
71,-20.443528013969974
72,-20.429699244920897
73,-20.41605910517912
74,-20.402602517974813
75,-20.38932460877398
76,-20.376220694677496
77,-20.36328627450579
78,-20.35051701951664
79,-20.337908764708146
80,-20.325457500663223
81,-20.313159365895554
82,-20.30101063966059
83,-20.289007735197927
84,-20.277147193374542
85,-20.265425676700538
86,-20.253839963691608
87,-20.24238694355433
88,-20.231063611172395
89,-20.219867062373524
90,-20.20879448945844
91,-20.197843176974672
92,-20.187010497719264
93,-20.176293908955714
94,-20.16569094883143
95,-20.15519923298318
96,-20.14481645131874
97,-20.13454036496393
98,-20.124368803364913
99,-20.114299661536396
100,-23.113356371448422
101,-22.930168866013858
102,-22.775400110223988
103,-22.64140541119769
104,-22.523262174461117
105,-22.41761359132625
106,-22.32206778165698
107,-22.23486008884989
108,-22.15465129788921
109,-22.080400990583268
110,-22.011284778349786
111,-21.946638346536954
112,-21.88591851908821
113,-21.828675485628246
114,-21.77453255813545
115,-21.72317113304766
116,-21.67431933081558
117,-21.627743283874963
118,-21.58324036502759
119,-21.540633859654115
120,-21.49976872739742
121,-21.4605081964467
122,-21.422731001546484
123,-21.386329125026453
124,-21.35120593477107
125,-21.31727463826393
126,-21.28445699043182
127,-21.25268220687433
128,-21.221886044508295
129,-21.192010019601884
130,-21.16300073927369
131,-21.134809327255873
132,-21.107390928407504
133,-21.080704279363673
134,-21.054711335002107
135,-21.02937694223973
136,-21.004668554140082
137,-20.980555978497847
138,-20.957011156028326
139,-20.934007964074787
140,-20.911522042389862
141,-20.889530638077648
142,-20.868012467222094
143,-20.84694759109213
144,-20.826317305118852
145,-20.806104039095427
146,-20.786291267265252
147,-20.76686342714559
148,-20.74780584608754
149,-20.729104674704164
150,-20.710746826410073
151,-20.692719922411413
152,-20.675012241566964
153,-20.657612674611844
154,-20.64051068229602
155,-20.623696257042642
156,-20.607159887776934
157,-20.590892527616102
158,-20.574885564145465
159,-20.55913079203633
160,-20.5436203877876
161,-20.5283468863965
162,-20.513303159784307
163,-20.498482396820933
164,-20.48387808480828
165,-20.46948399229639
166,-20.455294153118874
167,-20.441302851545252
168,-20.42750460845774
169,-20.41389416846881
170,-20.400466487903756
171,-20.3872167235794
172,-20.374140222316576
173,-20.36123251112951
174,-20.34848928804032
175,-20.335906413471452
176,-20.323479902173
177,-20.311205915645417
178,-20.2990807550217
179,-20.287100854375907
180,-20.27526277442779
181,-20.263563196615717
182,-20.2519989175123
183,-20.2405668435593
184,-20.22926398610004
185,-20.21808745668947
186,-20.207034462663437
187,-20.19610230295013
188,-20.18528836410804
189,-20.174590116575835
190,-20.16400511112075
191,-20.15353097547296
192,-20.14316541113442
193,-20.132906190351363
194,-20.122751153240596
195,-20.112698205060173
196,-20.10274531361595
197,-20.09289050679592
198,-20.08313187022484
199,-20.07346754503223
200,-22.505592865143846
201,-22.401701777813642
202,-22.30759546565798
203,-22.221588419997094
204,-22.14239631969682
205,-22.06901801589401
206,-22.000657954596335
207,-21.936673471058153
208,-21.876537960990227
209,-21.819814514075265
210,-21.766136634174078
211,-21.715193876672455
212,-21.666720970838032
213,-21.620489459240755
214,-21.57630118611226
215,-21.53398316468687
216,-21.49338348728223
217,-21.45436803380549
218,-21.41681779865187
219,-21.380626701612677
220,-21.345699781292204
221,-21.31195169352963
222,-21.279305455046295
223,-21.24769138577666
224,-21.217046213331468
225,-21.187312310653937
226,-21.158437043782275
227,-21.13037221116974
228,-21.103073559559633
229,-21.07650036420468
230,-21.05061506343357
231,-21.025382939334083
232,-21.000771837740647
233,-20.976751921859965
234,-20.953295454799168
235,-20.930376607020836
236,-20.90797128537303
237,-20.886056980856768
238,-20.8646126327195
239,-20.84361850681757
240,-20.823056086486826
241,-20.802907974408985
242,-20.783157804170443
243,-20.763790160386993
244,-20.744790506417786
245,-20.726145118819296
246,-20.707841027799024
247,-20.689865963021656
248,-20.672208304200606
249,-20.65485703597658
250,-20.637801706644478
251,-20.62103239034129
252,-20.604539652352543
253,-20.58831451723354
254,-20.57234843947584
255,-20.556633276478866
256,-20.54116126361265
257,-20.52592499118052
258,-20.510917383110648
259,-20.496131677223033
260,-20.48156140693421
261,-20.467200384275756
262,-20.45304268411501
263,-20.439082629477284
264,-20.425314777878537
265,-20.411733908586253
266,-20.39833501073376
267,-20.385113272220433
268,-20.372064069336105
269,-20.359182957053807
270,-20.3464656599398
271,-20.33390806363436
272,-20.321506206860914
273,-20.309256273924593
274,-20.297154587664757
275,-20.285197602828863
276,-20.273381899837805
277,-20.261704178915338
278,-20.250161254556314
279,-20.238750050310564
280,-20.227467593861068
281,-20.216311012376647
282,-20.2052775281211
283,-20.194364454301923
284,-20.18356919114309
285,-20.172889222167587
286,-20.162322110676357
287,-20.151865496411343
288,-20.141517092391197
289,-20.131274681909066
290,-20.121136115682553
291,-20.111099309146713
292,-20.101162239881567
293,-20.091322945166176
294,-20.081579519651857
295,-20.071930113147687
296,-20.062372928511838
297,-20.052906219642693
298,-20.043528289564193
299,-20.034237488600123
300,-22.13028970958176
301,-22.05776315635379
302,-21.990142873793847
303,-21.926806915383608
304,-21.867244580620053
305,-21.811031370214934
306,-21.757810615241787
307,-21.70727975361799
308,-21.659179910822697
309,-21.613287873871315
310,-21.5694098277561
311,-21.527376409394687
312,-21.487038759911545
313,-21.44826534279663
314,-21.41093935628039
315,-21.374956611540412
316,-21.340223779594893
317,-21.306656932581426
318,-21.27418032202299
319,-21.24272534932965
320,-21.212229693343524
321,-21.182636567028858
322,-21.153894081025335
323,-21.12595469614261
324,-21.09877475028571
325,-21.072314047989693
326,-21.04653550287622
327,-21.021404825049487
328,-20.996890246819273
329,-20.972962281246932
330,-20.949593508910667
331,-20.926758389022723
332,-20.904433091635592
333,-20.882595348173304
334,-20.86122431793747
335,-20.840300468582093
336,-20.819805468839004
337,-20.79972209201739
338,-20.780034129004466
339,-20.760726309666357
340,-20.741784231694307
341,-20.723194296065632
342,-20.704943648394927
343,-20.687020125541995
344,-20.66941220692101
345,-20.65210897002281
346,-20.635100049720226
347,-20.618375600976837
348,-20.601926264623163
349,-20.585743135902405
350,-20.56981773552108
351,-20.554141982968925
352,-20.538708171897873
353,-20.523508947372335
354,-20.50853728482265
355,-20.49378647055095
356,-20.479250083654033
357,-20.46492197924139
358,-20.450796272838637
359,-20.43686732587727
360,-20.42312973218113
361,-20.40957830536865
362,-20.39620806709728
363,-20.383014236083508
364,-20.369992217837837
365,-20.35713759505958
366,-20.34444611864119
367,-20.331913699236363
368,-20.31953639934994
369,-20.307310425911435
370,-20.295232123297065
371,-20.283297966768174
372,-20.271504556296616
373,-20.259848610750012
374,-20.248326962411994
375,-20.23693655181456
376,-20.225674422861427
377,-20.21453771822296
378,-20.203523674984716
379,-20.192629620532994
380,-20.18185296866216
381,-20.17119121588942
382,-20.160641937964055
383,-20.150202786558804
384,-20.13987148613223
385,-20.129645830951446
386,-20.1195236822656
387,-20.109502965620933
388,-20.099581668309046
389,-20.08975783694053
390,-20.08002957513661
391,-20.070395041331963
392,-20.060852446682446
393,-20.051400053071635
394,-20.04203617121075
395,-20.032759158826703
396,-20.02356741893342
397,-20.0144593981819
398,-20.005433585284713
399,-19.996488509511014
400,-21.858036772523114
401,-21.802324698789604
402,-21.749553346876116
403,-21.699427772430656
404,-21.651695293024844
405,-21.60613778072899
406,-21.562565635367733
407,-21.520813016986725
408,-21.480734034438477
409,-21.442199668835904
410,-21.405095268142595
411,-21.369318490209096
412,-21.334777601253542
413,-21.30139005853704
414,-21.269081322109432
415,-21.237783852585757
416,-21.207436261062394
417,-21.177982584273444
418,-21.149371663478057
419,-21.121556609759626
420,-21.094494341700127
421,-21.068145183983077
422,-21.042472517536506
423,-21.017442473473
424,-20.993023664407858
425,-20.969186947807884
426,-20.945905216895163
427,-20.923153215343085
428,-20.90090737258818
429,-20.879145657065212
430,-20.857847445074587
431,-20.836993403325618
432,-20.816565383479073
433,-20.796546327247384
434,-20.77692018080902
435,-20.757671817461166
436,-20.73878696757695
437,-20.720252155054887
438,-20.70205463955139
439,-20.68418236387627
440,-20.666623906007082
441,-20.649368435244085
442,-20.632405672084385
443,-20.61572585144289
444,-20.599319688890684
445,-20.583178349618464
446,-20.567293419865337
447,-20.55165688058163
448,-20.536261083119307
449,-20.521098726765548
450,-20.50616283795424
451,-20.491446751007263
452,-20.47694409027241
453,-20.462648753538144
454,-20.448554896617196
455,-20.43465691900156
456,-20.42094945050072
457,-20.407427338783336
458,-20.39408563775009
459,-20.38091959667201
460,-20.36792465003455
461,-20.35509640803317
462,-20.342430647670824
463,-20.32992330441225
464,-20.317570464353736
465,-20.305368356870655
466,-20.29331334770821
467,-20.281401932483668
468,-20.269630730571084
469,-20.257996479341752
470,-20.246496028735876
471,-20.23512633614285
472,-20.223884461569323
473,-20.21276756307587
474,-20.201772892464525
475,-20.190897791200825
476,-20.180139686555215
477,-20.169496087949828
478,-20.158964583497614
479,-20.14854283672185
480,-20.138228583444814
481,-20.128019628835286
482,-20.11791384460525
483,-20.107909166346847
484,-20.098003591001177
485,-20.088195174451304
486,-20.078482029232127
487,-20.068862322350412
488,-20.05933427320868
489,-20.049896151627088
490,-20.040546275957773
491,-20.031283011286543
492,-20.022104767717085
493,-20.013009998733235
494,-20.003997199634995
495,-19.99506490604446
496,-19.986211692477855
497,-19.977436170980226
498,-19.968736989819533
499,-19.96011283223705
500,-21.6442662788166
501,-21.59903844868674
502,-21.555767967705016
503,-21.51429242195532
504,-21.474468809617957
505,-21.43617056556137
506,-21.399285135030876
507,-21.363711979150644
508,-21.329360923179525
509,-21.296150779180564
510,-21.26400819015106
511,-21.232866654210824
512,-21.20266569620443
513,-21.173350160775833
514,-21.14486960614839
515,-21.117177781870858
516,-21.090232176948874
517,-21.063993627276748
518,-21.03842597326935
519,-21.013495760182526
520,-20.989171974889867
521,-20.965425813920174
522,-20.942230478403605
523,-20.91956099226551
524,-20.897394040575147
525,-20.875707825426076
526,-20.854481937114965
527,-20.83369723871052
528,-20.813335762376322
529,-20.793380616039926
530,-20.7738158991935
531,-20.7546266267744
532,-20.735798660212716
533,-20.717318644851023
534,-20.699173953042425
535,-20.681352632319662
536,-20.663843358102426
537,-20.64663539047428
538,-20.62971853461601
539,-20.613083104530432
540,-20.59671988973542
541,-20.580620124638454
542,-20.564775460337618
543,-20.549177938622076
544,-20.533819967969208
545,-20.51869430135723
546,-20.50379401573098
547,-20.4891124929752
548,-20.47464340226445
549,-20.46038068367183
550,-20.44631853293024
551,-20.432451387250385
552,-20.418773912108687
553,-20.40528098892662
554,-20.391967703570245
555,-20.37882933560532
556,-20.36586134824912
557,-20.353059378965508
558,-20.340419230654433
559,-20.32793686339137
560,-20.315608386675944
561,-20.30343005215264
562,-20.29139824676941
563,-20.279509486343002
564,-20.267760409502312
565,-20.256147771983432
566,-20.244668441252163
567,-20.233319391431667
568,-20.22209769851478
569,-20.21100053584195
570,-20.200025169827363
571,-20.189168955917058
572,-20.178429334764107
573,-20.16780382860701
574,-20.157290037838475
575,-20.14688563775269
576,-20.136588375460114
577,-20.126396066959465
578,-20.11630659435744
579,-20.1063179032273
580,-20.096428000098072
581,-20.086634950066692
582,-20.076936874525963
583,-20.0673319490016
584,-20.05781840109219
585,-20.048394508506224
586,-20.03905859719074
587,-20.02980903954653
588,-20.020644252725162
589,-20.011562697003267
590,-20.002562874230055
591,-19.99364332634404
592,-19.9848026339553
593,-19.97603941498995
594,-19.967352323393367
595,-19.958740047889396
596,-19.950201310792412
597,-19.941734866869755
598,-19.93333950225186
599,-19.92501403338781
600,-21.468242593567577
601,-21.430177594636255
602,-21.393508564655836
603,-21.358136725892653
604,-21.32397342750616
605,-21.290938806865185
606,-21.258960665008438
607,-21.227973516413357
608,-21.197917781623666
609,-21.16873909771313
610,-21.14038772653163
611,-21.112818044551823
612,-21.085988101175055
613,-21.059859234759948
614,-21.034395737551602
615,-21.009564562223343
616,-20.985335063979615
617,-20.961678773170956
618,-20.938569194189164
619,-20.915981627079937
620,-20.893893008861525
621,-20.87228177199339
622,-20.851127717817704
623,-20.830411903112147
624,-20.810116538157054
625,-20.79022489494243
626,-20.77072122432796
627,-20.75159068112816
628,-20.73281925622995
629,-20.714393714964963
630,-20.69630154105762
631,-20.678530885554228
632,-20.66107052021131
633,-20.64390979488387
634,-20.627038598508687
635,-20.610447323324657
636,-20.59412683201322
637,-20.57806842747741
638,-20.562263825009335
639,-20.546705126623078
640,-20.531384797353933
641,-20.51629564334595
642,-20.50143079156824
643,-20.48678367101696
644,-20.472347995274156
645,-20.458117746307757
646,-20.444087159408074
647,-20.430250709166557
648,-20.416603096411404
649,-20.4031392360227
650,-20.389854245557032
651,-20.37674343461784
652,-20.36380229491362
653,-20.35102649095125
654,-20.338411851316362
655,-20.32595436049685
656,-20.31365015120948
657,-20.3014954971928
658,-20.289486806432908
659,-20.277620614791076
660,-20.26589358000509
661,-20.254302476038273
662,-20.242844187752233
663,-20.23151570588143
664,-20.22031412228919
665,-20.209236625486476
666,-20.198280496396226
667,-20.187443104347118
668,-20.176721903282203
669,-20.16611442816855
670,-20.1556182915954
671,-20.145231180548926
672,-20.134950853352848
673,-20.124775136764686
674,-20.114701923218266
675,-20.104729168203736
676,-20.094854887776943
677,-20.085077156190565
678,-20.075394103639965
679,-20.065803914117105
680,-20.05630482336641
681,-20.046895116936817
682,-20.037573128324603
683,-20.028337237201978
684,-20.01918586772677
685,-20.010117486928703
686,-20.001130603168242
687,-19.992223764664022
688,-19.983395558085324
689,-19.974644607206113
690,-19.965969571617467
691,-19.957369145495388
692,-19.948842056421114
693,-19.940387064251357
694,-19.932002960035845
695,-19.923688564979916
696,-19.915442729449843
697,-19.907264332018876
698,-19.899152278551934
699,-19.891105501327154
700,-21.318614801476798
701,-21.285753858418428
702,-21.253938489476635
703,-21.223104204875533
704,-21.193192303252513
705,-21.164149199000168
706,-21.135925844566028
707,-21.10847723206483
708,-21.081761961485117
709,-21.05574186508965
710,-21.030381679455967
711,-21.005648758085144
712,-20.98151281870189
713,-20.957945720339126
714,-20.93492126609115
715,-20.912415028068278
716,-20.89040419162014
717,-20.86886741633702
718,-20.847784711706534
719,-20.827137325609456
720,-20.806907644096157
721,-20.787079101101142
722,-20.76763609693621
