,m
0,3.859000000000004
1,3.859000000000004
2,3.8590000000000035
3,3.8590000000000035
4,3.8590000000000035
5,3.859000000000003
6,3.859000000000003
7,3.859000000000003
8,3.8590000000000027
9,3.8590000000000027
10,3.8590000000000027
11,3.859000000000002
12,3.859000000000002
13,3.859000000000002
14,3.859000000000002
15,3.8590000000000018
16,3.8590000000000018
17,3.8590000000000018
18,3.8590000000000013
19,3.8590000000000013
20,3.8590000000000013
21,3.859000000000001
22,3.859000000000001
23,3.859000000000001
24,3.8590000000000004
25,3.8590000000000004
26,3.8590000000000004
27,3.859
28,3.859
29,3.859
30,3.8589999999999995
31,3.8589999999999995
32,3.8589999999999995
33,3.858999999999999
34,3.858999999999999
35,3.858999999999999
36,3.858999999999999
37,3.8589999999999987
38,3.8589999999999987
39,3.8589999999999987
40,3.858999999999998
41,3.858999999999998
42,3.858999999999998
43,3.8589999999999978
44,3.8589999999999978
45,3.8589999999999978
46,3.8589999999999973
47,3.8589999999999973
48,3.8589999999999973
49,3.858999999999997
50,3.858999999999997
51,3.858999999999997
52,3.8589999999999964
53,3.8589999999999964
54,3.8589999999999964
55,3.858999999999996
56,3.858999999999996
57,3.858999999999996
58,3.8589999999999955
59,3.8589999999999955
60,3.8589999999999955
61,3.8589999999999955
62,3.858999999999995
63,3.858999999999995
64,3.858999999999995
65,3.8589999999999947
66,3.8589999999999947
67,3.8589999999999947
68,3.858999999999994
69,3.858999999999994
70,3.858999999999994
71,3.8589999999999938
72,3.8589999999999938
73,3.8589999999999938
74,3.8589999999999933
75,3.8589999999999933
76,3.8589999999999933
77,3.858999999999993
78,3.858999999999993
79,3.858999999999993
80,3.8589999999999924
81,3.8589999999999924
82,3.8589999999999924
83,3.8589999999999924
84,3.858999999999992
85,3.858999999999992
86,3.858999999999992
87,3.8589999999999915
88,3.8589999999999915
89,3.8589999999999915
90,3.858999999999991
91,3.858999999999991
92,3.858999999999991
93,3.8589999999999907
94,3.8589999999999907
95,3.8589999999999907
96,3.85899999999999
97,3.85899999999999
98,3.85899999999999
99,3.8589999999999898
100,3.8539343434343474
101,3.8539343434343474
102,3.853934343434347
103,3.853934343434347
104,3.853934343434347
105,3.853934343434347
106,3.8539343434343465
107,3.8539343434343465
108,3.8539343434343465
109,3.853934343434346
110,3.853934343434346
111,3.853934343434346
112,3.8539343434343456
113,3.8539343434343456
114,3.8539343434343456
115,3.853934343434345
116,3.853934343434345
117,3.853934343434345
118,3.8539343434343447
119,3.8539343434343447
120,3.8539343434343447
121,3.8539343434343443
122,3.8539343434343443
123,3.8539343434343443
124,3.853934343434344
125,3.853934343434344
126,3.853934343434344
127,3.8539343434343434
128,3.8539343434343434
129,3.8539343434343434
130,3.8539343434343434
131,3.853934343434343
132,3.853934343434343
133,3.853934343434343
134,3.8539343434343425
135,3.8539343434343425
136,3.8539343434343425
137,3.853934343434342
138,3.853934343434342
139,3.853934343434342
140,3.8539343434343416
141,3.8539343434343416
142,3.8539343434343416
143,3.853934343434341
144,3.853934343434341
145,3.853934343434341
146,3.8539343434343407
147,3.8539343434343407
148,3.8539343434343407
149,3.8539343434343403
150,3.8539343434343403
151,3.8539343434343403
152,3.8539343434343403
153,3.85393434343434
154,3.85393434343434
155,3.85393434343434
156,3.8539343434343394
157,3.8539343434343394
158,3.8539343434343394
159,3.853934343434339
160,3.853934343434339
161,3.853934343434339
162,3.8539343434343385
163,3.8539343434343385
164,3.8539343434343385
165,3.853934343434338
166,3.853934343434338
167,3.853934343434338
168,3.8539343434343376
169,3.8539343434343376
170,3.8539343434343376
171,3.853934343434337
172,3.853934343434337
173,3.853934343434337
174,3.8539343434343367
175,3.8539343434343367
176,3.8539343434343367
177,3.8539343434343367
178,3.8539343434343363
179,3.8539343434343363
180,3.8539343434343363
181,3.853934343434336
182,3.853934343434336
183,3.853934343434336
184,3.8539343434343354
185,3.8539343434343354
186,3.8539343434343354
187,3.853934343434335
188,3.853934343434335
189,3.853934343434335
190,3.8539343434343345
191,3.8539343434343345
