,R,cidx,C,m
0,0,0,1.13E-10,3.859
1,0.006464646,0,1.14E-10,3.859
2,0.012929293,0,1.15E-10,3.859
3,0.019393939,0,1.16E-10,3.859
4,0.025858586,0,1.17E-10,3.859
5,0.032323232,0,1.18E-10,3.859
6,0.038787879,0,1.19E-10,3.859
7,0.045252525,0,1.20E-10,3.859
8,0.051717172,0,1.21E-10,3.859
9,0.058181818,0,1.22E-10,3.859
10,0.064646465,0,1.23E-10,3.859
11,0.071111111,0,1.24E-10,3.859
12,0.077575758,0,1.25E-10,3.859
13,0.084040404,0,1.26E-10,3.859
14,0.090505051,0,1.27E-10,3.859
15,0.096969697,0,1.28E-10,3.859
16,0.103434343,0,1.30E-10,3.859
17,0.10989899,0,1.31E-10,3.859
18,0.116363636,0,1.32E-10,3.859
19,0.122828283,0,1.33E-10,3.859
20,0.129292929,0,1.34E-10,3.859
21,0.135757576,0,1.36E-10,3.859
22,0.142222222,0,1.37E-10,3.859
23,0.148686869,0,1.38E-10,3.859
24,0.155151515,0,1.39E-10,3.859
25,0.161616162,0,1.41E-10,3.859
26,0.168080808,0,1.42E-10,3.859
27,0.174545455,0,1.43E-10,3.859
28,0.181010101,0,1.45E-10,3.859
29,0.187474747,0,1.46E-10,3.859
30,0.193939394,0,1.48E-10,3.859
31,0.20040404,0,1.49E-10,3.859
32,0.206868687,0,1.51E-10,3.859
33,0.213333333,0,1.52E-10,3.859
34,0.21979798,0,1.54E-10,3.859
35,0.226262626,0,1.55E-10,3.859
36,0.232727273,0,1.57E-10,3.859
37,0.239191919,0,1.59E-10,3.859
38,0.245656566,0,1.60E-10,3.859
39,0.252121212,0,1.62E-10,3.859
40,0.258585859,0,1.64E-10,3.859
41,0.265050505,0,1.66E-10,3.859
42,0.271515152,0,1.67E-10,3.859
43,0.277979798,0,1.69E-10,3.859
44,0.284444444,0,1.71E-10,3.859
45,0.290909091,0,1.73E-10,3.859
46,0.297373737,0,1.75E-10,3.859
47,0.303838384,0,1.77E-10,3.859
48,0.31030303,0,1.79E-10,3.859
49,0.316767677,0,1.81E-10,3.859
50,0.323232323,0,1.83E-10,3.859
51,0.32969697,0,1.86E-10,3.859
52,0.336161616,0,1.88E-10,3.859
53,0.342626263,0,1.90E-10,3.859
54,0.349090909,0,1.92E-10,3.859
55,0.355555556,0,1.95E-10,3.859
56,0.362020202,0,1.97E-10,3.859
57,0.368484848,0,2.00E-10,3.859
58,0.374949495,0,2.02E-10,3.859
59,0.381414141,0,2.05E-10,3.859
60,0.387878788,0,2.08E-10,3.859
61,0.394343434,0,2.10E-10,3.859
62,0.400808081,0,2.13E-10,3.859
63,0.407272727,0,2.16E-10,3.859
64,0.413737374,0,2.19E-10,3.859
65,0.42020202,0,2.22E-10,3.859
66,0.426666667,0,2.25E-10,3.859
67,0.433131313,0,2.28E-10,3.859
68,0.43959596,0,2.31E-10,3.859
69,0.446060606,0,2.35E-10,3.859
70,0.452525253,0,2.38E-10,3.859
71,0.458989899,0,2.42E-10,3.859
72,0.465454545,0,2.45E-10,3.859
73,0.471919192,0,2.49E-10,3.859
74,0.478383838,0,2.53E-10,3.859
75,0.484848485,0,2.57E-10,3.859
76,0.491313131,0,2.61E-10,3.859
77,0.497777778,0,2.65E-10,3.859
78,0.504242424,0,2.69E-10,3.859
79,0.510707071,0,2.74E-10,3.859
80,0.517171717,0,2.78E-10,3.859
81,0.523636364,0,2.83E-10,3.859
82,0.53010101,0,2.88E-10,3.859
83,0.536565657,0,2.93E-10,3.859
84,0.543030303,0,2.98E-10,3.859
85,0.549494949,0,3.03E-10,3.859
86,0.555959596,0,3.09E-10,3.859
87,0.562424242,0,3.14E-10,3.859
88,0.568888889,0,3.20E-10,3.859
89,0.575353535,0,3.26E-10,3.859
90,0.581818182,0,3.32E-10,3.859
91,0.588282828,0,3.39E-10,3.859
92,0.594747475,0,3.45E-10,3.859
93,0.601212121,0,3.52E-10,3.859
94,0.607676768,0,3.60E-10,3.859
95,0.614141414,0,3.67E-10,3.859
96,0.620606061,0,3.75E-10,3.859
97,0.627070707,0,3.83E-10,3.859
98,0.633535354,0,3.91E-10,3.859
99,0.64,0,4.00E-10,3.859
100,0,0.01010101,3.39E-10,3.838737374
101,0.006464646,0.01010101,3.41E-10,3.838737374
102,0.012929293,0.01010101,3.44E-10,3.838737374
103,0.019393939,0.01010101,3.47E-10,3.838737374
104,0.025858586,0.01010101,3.50E-10,3.838737374
105,0.032323232,0.01010101,3.52E-10,3.838737374
106,0.038787879,0.01010101,3.55E-10,3.838737374
107,0.045252525,0.01010101,3.58E-10,3.838737374
108,0.051717172,0.01010101,3.61E-10,3.838737374
109,0.058181818,0.01010101,3.64E-10,3.838737374
110,0.064646465,0.01010101,3.67E-10,3.838737374
111,0.071111111,0.01010101,3.71E-10,3.838737374
112,0.077575758,0.01010101,3.74E-10,3.838737374
113,0.084040404,0.01010101,3.77E-10,3.838737374
114,0.090505051,0.01010101,3.80E-10,3.838737374
115,0.096969697,0.01010101,3.84E-10,3.838737374
116,0.103434343,0.01010101,3.87E-10,3.838737374
117,0.10989899,0.01010101,3.91E-10,3.838737374
118,0.116363636,0.01010101,3.94E-10,3.838737374
119,0.122828283,0.01010101,3.98E-10,3.838737374
120,0.129292929,0.01010101,4.01E-10,3.838737374
121,0.135757576,0.01010101,4.05E-10,3.838737374
122,0.142222222,0.01010101,4.09E-10,3.838737374
123,0.148686869,0.01010101,4.13E-10,3.838737374
124,0.155151515,0.01010101,4.16E-10,3.838737374
125,0.161616162,0.01010101,4.20E-10,3.838737374
126,0.168080808,0.01010101,4.24E-10,3.838737374
127,0.174545455,0.01010101,4.28E-10,3.838737374
